source_ingredients,approval_date,source_ingredients_curie,source_ingredients_curie_label,llm_qc_comparison_col,id_correct,corrected_curie,approved_russia,corrected_curie_norm,corrected_curie_norm_label,alternate_ids
Potassium chloride+[dextrose],,CHEBI:32588,Potassium chloride,Drug 1: Potassium chloride+[dextrose]; Drug 2: Potassium chloride,True,CHEBI:32588,True,CHEBI:32588,Potassium chloride,"['CHEBI:32588', 'UNII:660YQ98I10', 'PUBCHEM.COMPOUND:4873', 'CHEMBL.COMPOUND:CHEMBL1200731', 'DRUGBANK:DB00761', 'MESH:D011189', 'CAS:14336-88-0', 'CAS:231-211-8', 'CAS:7447-40-7', 'DrugCentral:4199', 'HMDB:HMDB0303551', 'INCHIKEY:WCUXLLCKKVVCTQ-UHFFFAOYSA-M', 'UMLS:C0032825', 'RXCUI:8591', 'RXCUI:93028', 'UMLS:C0306522', 'RXCUI:152997', 'UMLS:C0593465', 'RXCUI:198116', 'UMLS:C0690058', 'RXCUI:204520', 'UMLS:C0703807', 'RXCUI:217905', 'UMLS:C0721242', 'RXCUI:312504', 'UMLS:C1162087', 'RXCUI:312505', 'UMLS:C1298318', 'RXCUI:312507', 'UMLS:C0979637', 'RXCUI:312515', 'UMLS:C0979646', 'RXCUI:312516', 'UMLS:C0979650', 'RXCUI:312517', 'UMLS:C0979652', 'RXCUI:312521', 'UMLS:C0979656', 'RXCUI:312529', 'UMLS:C0979665', 'RXCUI:314163', 'UMLS:C0981654', 'RXCUI:314182', 'UMLS:C0981676', 'RXCUI:315183', 'UMLS:C0982847', 'RXCUI:316537', 'UMLS:C0989027', 'RXCUI:316538', 'UMLS:C1133261', 'RXCUI:316539', 'UMLS:C1133262', 'RXCUI:316540', 'UMLS:C1133263', 'RXCUI:316543', 'UMLS:C0989059', 'RXCUI:316547', 'UMLS:C0989074', 'RXCUI:316548', 'UMLS:C0989075', 'RXCUI:316555', 'UMLS:C0989096', 'RXCUI:328804', 'UMLS:C1123795', 'RXCUI:331160', 'UMLS:C1126998', 'RXCUI:331161', 'UMLS:C1126999', 'RXCUI:332697', 'UMLS:C1128988', 'RXCUI:333179', 'UMLS:C1129570', 'RXCUI:333182', 'UMLS:C1129573', 'RXCUI:333184', 'UMLS:C1129575', 'RXCUI:333185', 'UMLS:C1129576', 'RXCUI:333186', 'UMLS:C1129577', 'RXCUI:333187', 'UMLS:C1129578', 'RXCUI:333188', 'UMLS:C1129579', 'RXCUI:333193', 'UMLS:C1129585', 'RXCUI:340436', 'UMLS:C1141308', 'RXCUI:343050', 'UMLS:C1145762', 'RXCUI:369934', 'UMLS:C1243950', 'RXCUI:373520', 'UMLS:C1247588', 'RXCUI:373522', 'UMLS:C1247590', 'RXCUI:373523', 'UMLS:C1247591', 'RXCUI:373524', 'UMLS:C1247592', 'RXCUI:378266', 'UMLS:C1252523', 'RXCUI:403888', 'UMLS:C1329093', 'RXCUI:569572', 'UMLS:C1603780', 'RXCUI:628953', 'UMLS:C1693611', 'RXCUI:628956', 'UMLS:C1703848', 'RXCUI:628957', 'UMLS:C1243948', 'RXCUI:628958', 'UMLS:C1694216', 'RXCUI:670031', 'UMLS:C1813513', 'RXCUI:759725', 'UMLS:C2241273', 'RXCUI:799884', 'UMLS:C2344867', 'RXCUI:800157', 'UMLS:C2345089', 'RXCUI:800629', 'UMLS:C2345475', 'RXCUI:800640', 'UMLS:C2345485', 'RXCUI:800805', 'UMLS:C2345610', 'RXCUI:800980', 'UMLS:C2345743', 'RXCUI:801438', 'UMLS:C2345994', 'RXCUI:830730', 'UMLS:C2586932', 'RXCUI:832717', 'UMLS:C2608529', 'RXCUI:832718', 'UMLS:C0306550', 'RXCUI:832730', 'UMLS:C2608537', 'RXCUI:832731', 'UMLS:C1329815', 'RXCUI:832890', 'UMLS:C2608588', 'RXCUI:904237', 'UMLS:C2746853', 'RXCUI:904238', 'UMLS:C0690054', 'RXCUI:904253', 'UMLS:C2746857', 'RXCUI:904268', 'UMLS:C1298319', 'RXCUI:904296', 'UMLS:C2746879', 'RXCUI:1160486', 'UMLS:C3214852', 'RXCUI:1160488', 'UMLS:C3214854', 'RXCUI:1160489', 'UMLS:C3214855', 'RXCUI:1160490', 'UMLS:C3214856', 'RXCUI:1168507', 'UMLS:C3222674', 'RXCUI:1168508', 'UMLS:C3222675', 'RXCUI:1172124', 'UMLS:C3226185', 'RXCUI:1172125', 'UMLS:C3226186', 'RXCUI:1295399', 'UMLS:C3466062', 'RXCUI:1302194', 'UMLS:C3474864', 'RXCUI:1302195', 'UMLS:C0691738', 'RXCUI:1483339', 'UMLS:C3696495', 'RXCUI:1483340', 'UMLS:C3695798', 'RXCUI:1536433', 'UMLS:C3820269', 'RXCUI:1536434', 'UMLS:C1996307', 'RXCUI:1536449', 'UMLS:C0357146', 'RXCUI:1541593', 'UMLS:C3834323', 'RXCUI:1541594', 'UMLS:C3833979', 'RXCUI:1547439', 'UMLS:C3855113', 'RXCUI:1658299', 'UMLS:C4033798', 'RXCUI:1658300', 'UMLS:C4033061', 'RXCUI:1658303', 'UMLS:C4033060', 'RXCUI:1718978', 'UMLS:C4057572', 'RXCUI:1719695', 'UMLS:C4057896', 'RXCUI:1801294', 'UMLS:C4082651', 'RXCUI:1801295', 'UMLS:C4083110', 'RXCUI:1801298', 'UMLS:C4083089', 'RXCUI:1801299', 'UMLS:C4082166', 'RXCUI:1860131', 'UMLS:C4284081', 'RXCUI:1860132', 'UMLS:C4282012', 'RXCUI:1860136', 'UMLS:C4282005', 'RXCUI:1860139', 'UMLS:C4282007', 'RXCUI:1860239', 'UMLS:C4281874', 'RXCUI:1860241', 'UMLS:C4281873', 'RXCUI:1860463', 'UMLS:C4281945', 'RXCUI:1860466', 'UMLS:C4281944', 'RXCUI:1867543', 'UMLS:C4307262', 'RXCUI:1867544', 'UMLS:C0981677', 'RXCUI:1867545', 'UMLS:C4307042', 'RXCUI:1867546', 'UMLS:C4307095', 'RXCUI:1867547', 'UMLS:C0710569', 'RXCUI:1867552', 'UMLS:C0704875', 'RXCUI:1867553', 'UMLS:C4306951', 'RXCUI:1867554', 'UMLS:C4282281', 'RXCUI:1870180', 'UMLS:C4307184', 'RXCUI:1870397', 'UMLS:C4307167', 'RXCUI:1870413', 'UMLS:C4307162', 'RXCUI:2045226', 'UMLS:C4692077', 'RXCUI:2045236', 'UMLS:C4692087', 'RXCUI:2465559', 'UMLS:C5422823', 'RXCUI:2606843', 'UMLS:C5699633', 'RXCUI:2641135', 'UMLS:C5828139', 'RXCUI:2664950', 'UMLS:C5850301', 'RXCUI:2664952', 'UMLS:C5850302', 'RXCUI:2665269', 'UMLS:C5850397', 'RXCUI:2665270', 'UMLS:C5850398', 'RXCUI:2665271', 'UMLS:C5850399', 'RXCUI:2665272', 'UMLS:C5850400', 'RXCUI:2665273', 'UMLS:C5850401', 'RXCUI:2665274', 'UMLS:C5850402', 'RXCUI:2665275', 'UMLS:C5850403', 'RXCUI:2693253']"
Potassium chloride+[sodium chloride],,RXCUI:220298,Thermotabs,Drug 1: Potassium chloride+[sodium chloride]; Drug 2: Thermotabs,True,RXCUI:800634,True,RXCUI:800634,Ionosol-B,"['RXCUI:800634', 'UMLS:C2345480', 'RXCUI:800635', 'UMLS:C2345481', 'RXCUI:875814', 'UMLS:C2723888', 'RXCUI:875815', 'UMLS:C2723889', 'RXCUI:1174133', 'UMLS:C3228154', 'RXCUI:2646852', 'UMLS:C5835779', 'RXCUI:2657363', 'UMLS:C5841221']"
Potassium chloride+calcium chloride+magnesium chloride+sodium acetate+sodium chloride,,CHEBI:26710,Sodium chloride,Drug 1: Potassium chloride+calcium chloride+magnesium chloride+sodium acetate+sodium chloride; Drug 2: Sodium chloride,False,RXCUI:1547456,True,RXCUI:1547456,calcium chloride / magnesium chloride / potassium acetate / sodium acetate / sodium chloride Injectable Product,"['RXCUI:1547456', 'UMLS:C3855127', 'RXCUI:1547457', 'UMLS:C3855128', 'RXCUI:1547460', 'UMLS:C0722195', 'RXCUI:1547461', 'UMLS:C3855130', 'RXCUI:1547462', 'UMLS:C3855131', 'RXCUI:1547463', 'UMLS:C3855132']"
Potassium chloride+calcium chloride+magnesium chloride+sodium acetate+sodium chloride+apple acid,,CHEBI:26710,Sodium chloride,Drug 1: Potassium chloride+calcium chloride+magnesium chloride+sodium acetate+sodium chloride+apple acid; Drug 2: Sodium chloride,False,RXCUI:800634,True,RXCUI:800634,Ionosol-B,"['RXCUI:800634', 'UMLS:C2345480', 'RXCUI:800635', 'UMLS:C2345481', 'RXCUI:875814', 'UMLS:C2723888', 'RXCUI:875815', 'UMLS:C2723889', 'RXCUI:1174133', 'UMLS:C3228154', 'RXCUI:2646852', 'UMLS:C5835779', 'RXCUI:2657363', 'UMLS:C5841221']"
Potassium chloride+calcium chloride+magnesium chloride+sodium bicarbonate+sodium chloride+povidon-8 thousand.,,CHEBI:26710,Sodium chloride,Drug 1: Potassium chloride+calcium chloride+magnesium chloride+sodium bicarbonate+sodium chloride+povidon-8 thousand.; Drug 2: Sodium chloride,False,PUBCHEM.COMPOUND:56841986,True,PUBCHEM.COMPOUND:56841986,Plasmalyte A,"['PUBCHEM.COMPOUND:56841986', 'MESH:C048013', 'CAS:97397-05-2', 'INCHIKEY:FVVLHONNBARESJ-NTOWJWGLSA-H', 'UMLS:C0071213', 'RXCUI:33834', 'PUBCHEM.COMPOUND:56842124', 'MESH:C017577', 'CAS:68073-09-6', 'INCHIKEY:GRPSNTXTTSBKGW-BVGHQBMWSA-J', 'UMLS:C0069013', 'RXCUI:32014', 'MESH:C012499', 'UMLS:C0071208', 'RXCUI:33829', 'RXCUI:800984', 'UMLS:C2345747', 'RXCUI:800986', 'UMLS:C2345749', 'RXCUI:800987', 'UMLS:C2345750', 'RXCUI:801110', 'UMLS:C2345825', 'RXCUI:801111', 'UMLS:C2345826', 'RXCUI:801355', 'UMLS:C2345931', 'RXCUI:801356', 'UMLS:C2345932', 'RXCUI:1156958', 'UMLS:C3211385', 'RXCUI:1181782', 'UMLS:C3235618', 'RXCUI:1181783', 'UMLS:C3235619', 'RXCUI:1185705', 'UMLS:C3239478']"
Potassium chloride+calcium chloride+magnesium chloride+sodium lactate+sodium chloride,,CHEBI:26710,Sodium chloride,Drug 1: Potassium chloride+calcium chloride+magnesium chloride+sodium lactate+sodium chloride; Drug 2: Sodium chloride,False,PUBCHEM.COMPOUND:56841986,True,PUBCHEM.COMPOUND:56841986,Plasmalyte A,"['PUBCHEM.COMPOUND:56841986', 'MESH:C048013', 'CAS:97397-05-2', 'INCHIKEY:FVVLHONNBARESJ-NTOWJWGLSA-H', 'UMLS:C0071213', 'RXCUI:33834', 'PUBCHEM.COMPOUND:56842124', 'MESH:C017577', 'CAS:68073-09-6', 'INCHIKEY:GRPSNTXTTSBKGW-BVGHQBMWSA-J', 'UMLS:C0069013', 'RXCUI:32014', 'MESH:C012499', 'UMLS:C0071208', 'RXCUI:33829', 'RXCUI:800984', 'UMLS:C2345747', 'RXCUI:800986', 'UMLS:C2345749', 'RXCUI:800987', 'UMLS:C2345750', 'RXCUI:801110', 'UMLS:C2345825', 'RXCUI:801111', 'UMLS:C2345826', 'RXCUI:801355', 'UMLS:C2345931', 'RXCUI:801356', 'UMLS:C2345932', 'RXCUI:1156958', 'UMLS:C3211385', 'RXCUI:1181782', 'UMLS:C3235618', 'RXCUI:1181783', 'UMLS:C3235619', 'RXCUI:1185705', 'UMLS:C3239478']"
Potassium chloride+magnesium chloride hexageidrate+sodium acetate trihydrate+sodium gluconate+sodium chloride,,CHEBI:26710,Sodium chloride,Drug 1: Potassium chloride+magnesium chloride hexageidrate+sodium acetate trihydrate+sodium gluconate+sodium chloride; Drug 2: Sodium chloride,False,PUBCHEM.COMPOUND:56841986,True,PUBCHEM.COMPOUND:56841986,Plasmalyte A,"['PUBCHEM.COMPOUND:56841986', 'MESH:C048013', 'CAS:97397-05-2', 'INCHIKEY:FVVLHONNBARESJ-NTOWJWGLSA-H', 'UMLS:C0071213', 'RXCUI:33834', 'PUBCHEM.COMPOUND:56842124', 'MESH:C017577', 'CAS:68073-09-6', 'INCHIKEY:GRPSNTXTTSBKGW-BVGHQBMWSA-J', 'UMLS:C0069013', 'RXCUI:32014', 'MESH:C012499', 'UMLS:C0071208', 'RXCUI:33829', 'RXCUI:800984', 'UMLS:C2345747', 'RXCUI:800986', 'UMLS:C2345749', 'RXCUI:800987', 'UMLS:C2345750', 'RXCUI:801110', 'UMLS:C2345825', 'RXCUI:801111', 'UMLS:C2345826', 'RXCUI:801355', 'UMLS:C2345931', 'RXCUI:801356', 'UMLS:C2345932', 'RXCUI:1156958', 'UMLS:C3211385', 'RXCUI:1181782', 'UMLS:C3235618', 'RXCUI:1181783', 'UMLS:C3235619', 'RXCUI:1185705', 'UMLS:C3239478']"
Potassium chloride+magnesium chloride+sodium acetate+sodium gluconate+sodium chloride,,CHEBI:26710,Sodium chloride,Drug 1: Potassium chloride+magnesium chloride+sodium acetate+sodium gluconate+sodium chloride; Drug 2: Sodium chloride,False,PUBCHEM.COMPOUND:56841986,True,PUBCHEM.COMPOUND:56841986,Plasmalyte A,"['PUBCHEM.COMPOUND:56841986', 'MESH:C048013', 'CAS:97397-05-2', 'INCHIKEY:FVVLHONNBARESJ-NTOWJWGLSA-H', 'UMLS:C0071213', 'RXCUI:33834', 'PUBCHEM.COMPOUND:56842124', 'MESH:C017577', 'CAS:68073-09-6', 'INCHIKEY:GRPSNTXTTSBKGW-BVGHQBMWSA-J', 'UMLS:C0069013', 'RXCUI:32014', 'MESH:C012499', 'UMLS:C0071208', 'RXCUI:33829', 'RXCUI:800984', 'UMLS:C2345747', 'RXCUI:800986', 'UMLS:C2345749', 'RXCUI:800987', 'UMLS:C2345750', 'RXCUI:801110', 'UMLS:C2345825', 'RXCUI:801111', 'UMLS:C2345826', 'RXCUI:801355', 'UMLS:C2345931', 'RXCUI:801356', 'UMLS:C2345932', 'RXCUI:1156958', 'UMLS:C3211385', 'RXCUI:1181782', 'UMLS:C3235618', 'RXCUI:1181783', 'UMLS:C3235619', 'RXCUI:1185705', 'UMLS:C3239478']"
Potassium chloride+magnesium chloride+sodium chloride+sodium fumarat,,CHEBI:26710,Sodium chloride,Drug 1: Potassium chloride+magnesium chloride+sodium chloride+sodium fumarat; Drug 2: Sodium chloride,False,PUBCHEM.COMPOUND:56841986,True,PUBCHEM.COMPOUND:56841986,Plasmalyte A,"['PUBCHEM.COMPOUND:56841986', 'MESH:C048013', 'CAS:97397-05-2', 'INCHIKEY:FVVLHONNBARESJ-NTOWJWGLSA-H', 'UMLS:C0071213', 'RXCUI:33834', 'PUBCHEM.COMPOUND:56842124', 'MESH:C017577', 'CAS:68073-09-6', 'INCHIKEY:GRPSNTXTTSBKGW-BVGHQBMWSA-J', 'UMLS:C0069013', 'RXCUI:32014', 'MESH:C012499', 'UMLS:C0071208', 'RXCUI:33829', 'RXCUI:800984', 'UMLS:C2345747', 'RXCUI:800986', 'UMLS:C2345749', 'RXCUI:800987', 'UMLS:C2345750', 'RXCUI:801110', 'UMLS:C2345825', 'RXCUI:801111', 'UMLS:C2345826', 'RXCUI:801355', 'UMLS:C2345931', 'RXCUI:801356', 'UMLS:C2345932', 'RXCUI:1156958', 'UMLS:C3211385', 'RXCUI:1181782', 'UMLS:C3235618', 'RXCUI:1181783', 'UMLS:C3235619', 'RXCUI:1185705', 'UMLS:C3239478']"
Potassium chloride+magnesium chloride+sodium fumarat+sodium chloride,,CHEBI:26710,Sodium chloride,Drug 1: Potassium chloride+magnesium chloride+sodium fumarat+sodium chloride; Drug 2: Sodium chloride,False,PUBCHEM.COMPOUND:56841986,True,PUBCHEM.COMPOUND:56841986,Plasmalyte A,"['PUBCHEM.COMPOUND:56841986', 'MESH:C048013', 'CAS:97397-05-2', 'INCHIKEY:FVVLHONNBARESJ-NTOWJWGLSA-H', 'UMLS:C0071213', 'RXCUI:33834', 'PUBCHEM.COMPOUND:56842124', 'MESH:C017577', 'CAS:68073-09-6', 'INCHIKEY:GRPSNTXTTSBKGW-BVGHQBMWSA-J', 'UMLS:C0069013', 'RXCUI:32014', 'MESH:C012499', 'UMLS:C0071208', 'RXCUI:33829', 'RXCUI:800984', 'UMLS:C2345747', 'RXCUI:800986', 'UMLS:C2345749', 'RXCUI:800987', 'UMLS:C2345750', 'RXCUI:801110', 'UMLS:C2345825', 'RXCUI:801111', 'UMLS:C2345826', 'RXCUI:801355', 'UMLS:C2345931', 'RXCUI:801356', 'UMLS:C2345932', 'RXCUI:1156958', 'UMLS:C3211385', 'RXCUI:1181782', 'UMLS:C3235618', 'RXCUI:1181783', 'UMLS:C3235619', 'RXCUI:1185705', 'UMLS:C3239478']"
Potassium chloride+magnesium sulfate+mannitol,,CHEBI:32588,Potassium chloride,Drug 1: Potassium chloride+magnesium sulfate+mannitol; Drug 2: Potassium chloride,False,RXCUI:2465553,True,RXCUI:2465553,magnesium sulfate / potassium chloride / sodium sulfate Oral Product,"['RXCUI:2465553', 'UMLS:C5422836', 'RXCUI:2465557', 'UMLS:C5422837', 'RXCUI:2465558', 'UMLS:C5422765', 'RXCUI:2465561', 'UMLS:C5422831', 'RXCUI:2465562', 'UMLS:C5422781', 'RXCUI:2465563', 'UMLS:C5422789', 'RXCUI:2465564', 'UMLS:C5422797', 'RXCUI:2465565', 'UMLS:C5422798']"
Potassium chloride+sodium acetate+sodium chloride,,PUBCHEM.COMPOUND:56841986,Plasmalyte A,Drug 1: Potassium chloride+sodium acetate+sodium chloride; Drug 2: Plasmalyte A,True,PUBCHEM.COMPOUND:56841986,True,PUBCHEM.COMPOUND:56841986,Plasmalyte A,"['PUBCHEM.COMPOUND:56841986', 'MESH:C048013', 'CAS:97397-05-2', 'INCHIKEY:FVVLHONNBARESJ-NTOWJWGLSA-H', 'UMLS:C0071213', 'RXCUI:33834', 'PUBCHEM.COMPOUND:56842124', 'MESH:C017577', 'CAS:68073-09-6', 'INCHIKEY:GRPSNTXTTSBKGW-BVGHQBMWSA-J', 'UMLS:C0069013', 'RXCUI:32014', 'MESH:C012499', 'UMLS:C0071208', 'RXCUI:33829', 'RXCUI:800984', 'UMLS:C2345747', 'RXCUI:800986', 'UMLS:C2345749', 'RXCUI:800987', 'UMLS:C2345750', 'RXCUI:801110', 'UMLS:C2345825', 'RXCUI:801111', 'UMLS:C2345826', 'RXCUI:801355', 'UMLS:C2345931', 'RXCUI:801356', 'UMLS:C2345932', 'RXCUI:1156958', 'UMLS:C3211385', 'RXCUI:1181782', 'UMLS:C3235618', 'RXCUI:1181783', 'UMLS:C3235619', 'RXCUI:1185705', 'UMLS:C3239478']"
