category_class	label	definition	synonyms	subsets	crossreferences
MONDO:0100257	peroxisomal single enzyme/protein defect	Any peroxisomal disease in which the cause of the disease is a defect in a single enyme or protein.	peroxisomal single enzyme/protein defect	mondo:anatomical_member; mondo:medical_specialization_member; mondo:medical_specialization_pediatric; mondo:tag_qaly_lost_high; mondo:is_pathogen_caused_false; mondo:is_cancer_false; mondo:tag_existing_treatment_false; mondo:harrisons_view_metabolic_disease; mondo:txgnn_adrenal_gland_disease; mondo:txgnn_member; mondo:medical_specialization_genetics_and_genomics; mondo:rare; mondo:gard_rare; mondo:is_cancer_member; mondo:mondo_txgnn_metabolic_disease; mondo:is_pathogen_caused_member; mondo:txgnn_neurodegenerative_disease; mondo:medical_specialization_hepatology; mondo:is_glucose_dysfunction_false; mondo:mondo_top_grouping_metabolic_disease; mondo:tag_qaly_lost_member; mondo:harrisons_view_member; mondo:anatomical_liver_disorder; mondo:mondo_txgnn_member; mondo:tag_existing_treatment_member; mondo:mondo_top_grouping_member; mondo:txgnn_metabolic_disorder; mondo:tag_qualy_lost_other; mondo:is_glucose_dysfunction_member; mondo:anatomical_other; mondo:mondo_top_grouping_hereditary_disease; mondo:harrisons_view_hereditary_disease	
MONDO:0019053	peroxisomal disease	A group of congenital disorders of lipid metabolism, caused by loss of the normal peroxisomes. Signs and symptoms include developmental delays, intellectual disability, characteristic facial dysmorphic features, hepatomegaly, and hypotonia.	peroxisomal disorder; peroxisomal disease; peroxisomal function disorder; disorder of peroxisomal function	mondo:txgnn_neurodegenerative_disease; mondo:anatomical_peroxisomal_diseases_often_affect_the_liver; mondo:tag_qaly_lost_member; mondo:is_cancer_member; mondo:ordo_group_of_disorders; mondo:is_glucose_dysfunction_false; mondo:tag_existing_treatment_false; mondo:disease_grouping; mondo:mondo_top_grouping_hereditary_disease; mondo:medical_specialization_genetics_and_genomics; mondo:txgnn_member; mondo:harrisons_view_metabolic_disease; mondo:mondo_txgnn_member; mondo:is_pathogen_caused_member; mondo:tag_qaly_lost_very_high; mondo:is_pathogen_caused_false; mondo:medical_specialization_neurology; mondo:anatomical_liver_disorder; mondo:tag_existing_treatment_member; mondo:tag_qualy_lost_other; mondo:harrisons_view_member; mondo:mondo_top_grouping_member; mondo:is_cancer_false; mondo:medical_specialization_pediatrics; mondo:gard_rare; mondo:anatomical_member; mondo:otar; mondo:rare; mondo:mondo_txgnn_metabolic_disease; mondo:mondo_top_grouping_metabolic_disease; mondo:harrisons_view_hereditary_disease; mondo:is_glucose_dysfunction_member; mondo:txgnn_metabolic_disorder; mondo:medical_specialization_member	ICD9:277.89; DOID:906; NANDO:1200758; UMLS:C0282528; GARD:18885; NANDO:2100166; SCTID:238059005; NCIT:C85005; Orphanet:68373; ICD9:277.86; icd11.foundation:782299726; MEDGEN:129185
MONDO:0008230	peroxidase, salivary		peroxidase, salivary	mondo:tag_qaly_lost_none; mondo:is_cancer_member; mondo:tag_qualy_lost_other; mondo:is_glucose_dysfunction_false; mondo:is_glucose_dysfunction_member; mondo:mondo_top_grouping_hereditary_disease; mondo:txgnn_member; mondo:txgnn_autoimmune_diseases; mondo:tag_existing_treatment_member; mondo:medical_specialization_hematology; mondo:harrisons_view_member; mondo:medical_specialization_oncology; mondo:txgnn_inflammatory_disease; mondo:is_pathogen_caused_false; mondo:anatomical_other; mondo:txgnn_metabolic_disorder; mondo:tag_qaly_lost_member; mondo:mondo_txgnn_other; mondo:mondo_top_grouping_member; mondo:is_pathogen_caused_member; mondo:unclassified_hereditary; mondo:medical_specialization_member; mondo:tag_existing_treatment_false; mondo:anatomical_liver_disorder; mondo:matrix_excluded; mondo:medical_specialization_pediatric; mondo:harrisons_view_hereditary_disease; mondo:is_cancer_false; mondo:anatomical_member	MEDGEN:401440; UMLS:C1868425; OMIM:170990
MONDO:0009854	peroneus tertius muscle, absence of		peroneus tertius muscle, absence of	mondo:txgnn_member; mondo:is_pathogen_caused_member; mondo:mondo_top_grouping_member; mondo:anatomical_member; mondo:tag_qaly_lost_member; mondo:medical_specialization_neurology; mondo:tag_existing_treatment_member; mondo:txgnn_neurodegenerative_disease; mondo:harrisons_view_member; mondo:medical_specialization_member; mondo:matrix_excluded; mondo:txgnn_congenital_condition; mondo:anatomical_bone_disorder; mondo:is_glucose_dysfunction_member; mondo:is_cancer_false; mondo:mondo_top_grouping_hereditary_disease; mondo:txgnn_muscle_disease; mondo:harrisons_view_hereditary_disease; mondo:tag_qualy_lost_other; mondo:medical_specialization_orthopaedic; mondo:tag_existing_treatment_false; mondo:anatomical_muscle_disorder; mondo:is_glucose_dysfunction_false; mondo:tag_qaly_lost_low; mondo:is_cancer_member; mondo:unclassified_hereditary; mondo:is_pathogen_caused_false; mondo:mondo_txgnn_other	MEDGEN:376684; UMLS:C1850001; OMIM:261400
MONDO:0008229	peroneal nerve, accessory deep		peroneal nerve, accessory deep	mondo:is_cancer_false; mondo:is_cancer_member; mondo:tag_qualy_lost_other; mondo:anatomical_peripheral_nerve_disorder; mondo:is_glucose_dysfunction_false; mondo:is_glucose_dysfunction_member; mondo:tag_existing_treatment_member; mondo:mondo_top_grouping_hereditary_disease; mondo:txgnn_autoimmune_diseases; mondo:txgnn_member; mondo:txgnn_neurodegenerative_disease; mondo:harrisons_view_member; mondo:medical_specialization_neurology; mondo:is_pathogen_caused_false; mondo:tag_qaly_lost_member; mondo:mondo_txgnn_other; mondo:mondo_top_grouping_member; mondo:anatomical_muscle_disorder; mondo:is_pathogen_caused_member; mondo:medical_specialization_member; mondo:txgnn_peripheral_nerve_damage; mondo:tag_qaly_lost_medium; mondo:unclassified_hereditary; mondo:tag_existing_treatment_false; mondo:matrix_excluded; mondo:harrisons_view_hereditary_disease; mondo:anatomical_member; mondo:medical_specialization_orthopaedic	MESH:C536001; OMIM:170980; UMLS:C1868426; MEDGEN:358317
MONDO:0016408	permanent congenital hypothyroidism	Permanent congenital hypothyroidism is a type of congenital hypothyroidism (CH), a thyroid hormone deficiency present from birth.		mondo:harrisons_view_endocrine_system_disorder; mondo:tag_existing_treatment_member; mondo:ordo_group_of_disorders; mondo:txgnn_member; mondo:mondo_top_grouping_endocrine_system_disorder; mondo:anatomical_thyroid_disorder; mondo:medical_specialization_endocrinology; mondo:anatomical_endocrine_disorder; mondo:tag_existing_treatment_true; mondo:medical_specialization_member; mondo:mondo_top_grouping_member; mondo:is_pathogen_caused_false; mondo:anatomical_member; mondo:nord_rare; mondo:medical_specialization_pediatric; mondo:gard_rare; mondo:is_cancer_false; mondo:tag_qaly_lost_high; mondo:is_cancer_member; mondo:is_pathogen_caused_member; mondo:harrisons_view_member; mondo:mondo_txgnn_member; mondo:anatomical_congenital_disorder; mondo:is_glucose_dysfunction_member; mondo:txgnn_autoimmune_diseases; mondo:disease_grouping; mondo:otar; mondo:mondo_txgnn_endocrine_system_disorder; mondo:tag_qaly_lost_member; mondo:is_glucose_dysfunction_false; mondo:tag_qualy_lost_other; mondo:rare; mondo:txgnn_metabolic_disorder	UMLS:C5680893; icd11.foundation:801729371; GARD:20560; MEDGEN:1843186; Orphanet:226292
MONDO:1010128	peritonitis	Inflammation of the peritoneum (tissue that lines the abdominal wall and covers most of the organs in the abdomen).	peritoneum inflammation	mondo:matrix_excluded; mondo:anatomical_other; mondo:is_pathogen_caused_other; mondo:medical_specialization_other; mondo:is_cancer_other; mondo:harrisons_view_inflammatory_disease; mondo:txgnn_other; mondo:mondo_txgnn_other; mondo:tag_qualy_lost_other; mondo:mondo_top_grouping_member; mondo:harrisons_view_member; mondo:mondo_top_grouping_inflammatory_disease; mondo:tag_existing_treatment_other; mondo:is_glucose_dysfunction_other	UMLS:C0031154; icd11.foundation:775356003; MESH:D010538; MEDGEN:14697
MONDO:0002087	peritoneum cancer	A malignant neoplasm involving the peritoneum	malignant peritoneum neoplasm; peritoneum cancer; cancer of the peritoneum; malignant peritoneal neoplasm; malignant neoplasm of peritoneum; peritoneal cavity cancer; cancer of peritoneum; peritoneal cancer	mondo:anatomical_upper_gastrointestinal_disorder; mondo:tag_qaly_lost_member; mondo:harrisons_view_member; mondo:medical_specialization_member; mondo:tag_qualy_lost_other; mondo:medical_specialization_oncology; mondo:tag_existing_treatment_false; mondo:tag_existing_treatment_member; mondo:otar; mondo:is_glucose_dysfunction_member; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:is_pathogen_caused_false; mondo:txgnn_cancer; mondo:mondo_txgnn_member; mondo:anatomical_liver_disorder; mondo:mondo_top_grouping_member; mondo:anatomical_lower_gastrointestinal_disorder; mondo:harrisons_view_cancer_or_benign_tumor; mondo:is_cancer_member; mondo:anatomical_member; mondo:tag_qaly_lost_high; mondo:is_cancer_true; mondo:txgnn_member; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:is_pathogen_caused_member; mondo:medical_specialization_hepatology; mondo:txgnn_adrenal_gland_disease; mondo:medical_specialization_gastroenterology; mondo:is_glucose_dysfunction_false	ICD9:158.8; ICD9:159.8; ICD9:158.9; SCTID:363492001; DOID:1725; MEDGEN:102270; UMLS:C0153467; NCIT:C3538
MONDO:0037737	peritoneal solitary fibrous tumor	A rare, usually benign fibroblastic neoplasm that arises from the peritoneum. It is characterized by the presence of prominent hemangiopericytoma-like vessels.	peritoneal solitary fibrous tumor	mondo:anatomical_member; mondo:harrisons_view_connective_tissue_disorder; mondo:txgnn_autoimmune_diseases; mondo:medical_specialization_member; mondo:anatomical_muscle_disorder; mondo:is_cancer_false; mondo:txgnn_other; mondo:tag_qaly_lost_member; mondo:tag_existing_treatment_member; mondo:medical_specialization_oncology; mondo:is_cancer_member; mondo:is_pathogen_caused_false; mondo:harrisons_view_member; mondo:is_glucose_dysfunction_false; mondo:medical_specialization_genetics_and_genomics; mondo:mondo_top_grouping_connective_tissue_disorder; mondo:harrisons_view_cancer_or_benign_tumor; mondo:mondo_txgnn_member; mondo:otar; mondo:txgnn_cancer; mondo:is_pathogen_caused_member; mondo:rare; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:anatomical_soft_tissue_disorder; mondo:tag_qualy_lost_other; mondo:tag_qaly_lost_medium; mondo:txgnn_member; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:mondo_top_grouping_member; mondo:tag_existing_treatment_false; mondo:is_glucose_dysfunction_member; mondo:medical_specialization_hematology; mondo:gard_rare; mondo:txgnn_	NCIT:C126357; MEDGEN:925935; UMLS:C4288403
MONDO:0006901	peritoneal neoplasm	A benign or malignant neoplasm that affects the peritoneal cavity. Representative examples of benign neoplasms include adenomatoid tumor and disseminated peritoneal leiomyomatosis. Representative examples of malignant neoplasms include primary peritoneal carcinoma, metastatic carcinoma to the peritoneum, and malignant mesothelioma.	tumor of peritoneum; peritoneum tumor; tumour of peritoneum; peritoneal neoplasm; neoplasm of peritoneum; peritoneum tumour; peritoneum neoplasm; peritoneum neoplasm (disease)	mondo:medical_specialization_urology; mondo:tag_qualy_lost_other; mondo:is_glucose_dysfunction_member; mondo:txgnn_peritoneal_neoplasm; mondo:is_pathogen_caused_false; mondo:txgnn_; mondo:tag_qaly_lost_member; mondo:tag_existing_treatment_false; mondo:mondo_txgnn_member; mondo:is_pathogen_caused_member; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:is_cancer_member; mondo:medical_specialization_gastroenterology; mondo:is_glucose_dysfunction_false; mondo:harrisons_view_cancer_or_benign_tumor; mondo:medical_specialization_member; mondo:otar; mondo:txgnn_member; mondo:anatomical_member; mondo:medical_specialization_oncology; mondo:tag_existing_treatment_member; mondo:harrisons_view_member; mondo:anatomical_lower_gastrointestinal_disorder; mondo:mondo_top_grouping_member; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:is_cancer_true; mondo:tag_qaly_lost_high; mondo:txgnn_cancer; mondo:anatomical_upper_gastrointestinal_disorder	MEDGEN:18392; MESH:D010534; UMLS:C0031149; EFO:1001100; MedDRA:10061344; NCIT:C3322; SCTID:126865007
MONDO:0700336	peritoneal carcinomatosis	Cancer in which a carcinoma, usually of the digestive tract or female reproductive organs, has spread extensively throughout the peritoneum and causes tumors to grow on the peritoneum. Peritoneal carcinomatosis can happen in many types of cancer, but it is most common in people with cancers of the ovary, colon, rectum, stomach, pancreas, or appendix.	carcinomatosis of the peritoneum; abdominal carcinomatosis; peritoneal carcinomatosis	mondo:anatomical_other; mondo:is_glucose_dysfunction_other; mondo:matrix_excluded; mondo:mondo_top_grouping_member; mondo:harrisons_view_member; mondo:tag_existing_treatment_other; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:medical_specialization_other; mondo:mondo_txgnn_member; mondo:harrisons_view_cancer_or_benign_tumor; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:txgnn_other; mondo:is_cancer_other; mondo:tag_qualy_lost_other; mondo:is_pathogen_caused_other	NCIT:C27382; MEDGEN:577752; UMLS:C0346990
MONDO:0000650	peritoneal benign neoplasm	A non-metastasizing neoplasm that arises from the peritoneal cavity. Representative examples include adenomatoid tumor and disseminated peritoneal leiomyomatosis.	benign peritoneal neoplasm; peritoneum benign neoplasm	mondo:tag_qaly_lost_low; mondo:medical_specialization_hepatology; mondo:medical_specialization_member; mondo:is_pathogen_caused_false; mondo:mondo_top_grouping_member; mondo:txgnn_benign_neoplasm; mondo:anatomical_lower_gastrointestinal_disorder; mondo:tag_qaly_lost_member; mondo:is_pathogen_caused_member; mondo:anatomical_member; mondo:anatomical_upper_gastrointestinal_disorder; mondo:harrisons_view_cancer_or_benign_tumor; mondo:otar; mondo:mondo_txgnn_member; mondo:txgnn_peritoneal_disease; mondo:medical_specialization_gastroenterology; mondo:is_cancer_false; mondo:harrisons_view_member; mondo:txgnn_cancer; mondo:is_glucose_dysfunction_member; mondo:medical_specialization_oncology; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:tag_existing_treatment_false; mondo:txgnn_member; mondo:tag_qualy_lost_other; mondo:is_cancer_member; mondo:is_glucose_dysfunction_false; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:tag_existing_treatment_member	UMLS:C0496874; MEDGEN:141678; NCIT:C8612; DOID:0060117
MONDO:0004900	peripheral vertigo			mondo:tag_existing_treatment_member; mondo:is_pathogen_caused_false; mondo:medical_specialization_member; mondo:anatomical_brain_disorder; mondo:txgnn_peripheral_nervous_system_disease; mondo:mondo_top_grouping_psychiatric_disorder; mondo:medical_specialization_otolaryngology; mondo:tag_existing_treatment_true; mondo:otar; mondo:is_glucose_dysfunction_false; mondo:mondo_top_grouping_nervous_system_disorder; mondo:is_glucose_dysfunction_member; mondo:harrisons_view_member; mondo:anatomical_ear_disorder; mondo:txgnn_neurodegenerative_disease; mondo:is_cancer_member; mondo:harrisons_view_auditory_system_disorder; mondo:rare; mondo:mondo_top_grouping_auditory_system_disorder; mondo:tag_qaly_lost_member; mondo:medical_specialization_neurology; mondo:is_pathogen_caused_member; mondo:harrisons_view_otorhinolaryngologic_disease; mondo:harrisons_view_nervous_system_disorder; mondo:mondo_top_grouping_otorhinolaryngologic_disease; mondo:is_cancer_false; mondo:tag_qaly_lost_medium; mondo:anatomical_member; mondo:mondo_txgnn_psychiatric_disorder; mondo:tag_qualy_lost_other; mondo:harrisons_view_psychiatric_disorder; mondo:txgnn_member; mondo:mondo_txgnn_member; mondo:gard_rare; mondo:mondo_top_grouping_member	UMLS:C0155501; ICD9:386.10; DOID:9847; SCTID:50438001; ICD9:386.1; MEDGEN:102334; ICD9:386.19
MONDO:0005294	peripheral vascular disease	Any disorder affecting blood flow through the veins or arteries outside of the heart.	disease, peripheral vascular; arterial occlusive disease; vascular disease, peripheral; peripheral vascular disorder	mondo:tag_qaly_lost_member; mondo:is_glucose_dysfunction_false; mondo:mondo_top_grouping_cardiovascular_disorder; mondo:anatomical_muscle_disorder; mondo:medical_specialization_member; mondo:txgnn_inflammatory_disease; mondo:harrisons_view_cardiovascular_disorder; mondo:tag_qaly_lost_high; mondo:is_glucose_dysfunction_member; mondo:tag_qualy_lost_other; mondo:is_cancer_member; mondo:is_pathogen_caused_member; mondo:anatomical_vascular_disorder; mondo:harrisons_view_member; mondo:medical_specialization_cardiology; mondo:tag_existing_treatment_true; mondo:is_cancer_false; mondo:txgnn_cardiovascular_disorder; mondo:tag_existing_treatment_member; mondo:anatomical_member; mondo:txgnn_member; mondo:mondo_txgnn_cardiovascular_disorder; mondo:otar; mondo:medical_specialization_vascular____i_corrected_the_answer_to_reflect_that_peripheral_vascular_disease_is_closely_related_to_cardiology_; mondo:mondo_top_grouping_member; mondo:is_pathogen_caused_false; mondo:mondo_txgnn_member	MESH:D016481; ICD9:443.81; MEDGEN:38790; MESH:D016491; UMLS:C0085096; EFO:0003875; NCIT:C35136; DOID:341
MONDO:0019995	peripheral resistance to thyroid hormones	Peripheral resistance to thyroid hormones may be a cause of permanent congenital hypothyroidism, a permanent thyroid hormone deficiency that is present from birth.		mondo:rare; mondo:tag_qaly_lost_high; mondo:is_glucose_dysfunction_false; mondo:txgnn_autoimmune_diseases; mondo:is_glucose_dysfunction_member; mondo:tag_qaly_lost_member; mondo:txgnn_metabolic_disorder; mondo:mondo_top_grouping_endocrine_system_disorder; mondo:anatomical_endocrine_disorder; mondo:is_pathogen_caused_false; mondo:harrisons_view_member; mondo:medical_specialization_cardiology; mondo:anatomical_member; mondo:medical_specialization_endocrinology; mondo:gard_rare; mondo:tag_existing_treatment_false; mondo:txgnn_inflammatory_disease; mondo:mondo_txgnn_endocrine_system_disorder; mondo:txgnn_member; mondo:harrisons_view_endocrine_system_disorder; mondo:medical_specialization_member; mondo:tag_existing_treatment_member; mondo:anatomical_vascular_disorder; mondo:tag_qualy_lost_other; mondo:otar; mondo:mondo_txgnn_member; mondo:is_cancer_member; mondo:is_cancer_false; mondo:mondo_top_grouping_member; mondo:is_pathogen_caused_member	MEDGEN:902322; SCTID:718193005; GARD:12734; UMLS:C4273673; Orphanet:97927
MONDO:0015791	peripheral precocious puberty	Precocious puberty caused by sex hormones.	GIPP; gonadotropin-independent precocious puberty; gonadotropin independent precocious puberty; precocious pseudopuberty	mondo:anatomical_member; mondo:harrisons_view_endocrine_system_disorder; mondo:rare; mondo:txgnn_autoimmune_diseases; mondo:disease_grouping; mondo:tag_existing_treatment_member; mondo:ordo_group_of_disorders; mondo:is_pathogen_caused_member; mondo:medical_specialization_endocrinology; mondo:tag_qaly_lost_member; mondo:is_pathogen_caused_false; mondo:mondo_txgnn_endocrine_system_disorder; mondo:txgnn_metabolic_disorder; mondo:txgnn_member; mondo:tag_qualy_lost_other; mondo:tag_qaly_lost_high; mondo:mondo_top_grouping_endocrine_system_disorder; mondo:medical_specialization_member; mondo:gard_rare; mondo:is_cancer_false; mondo:tag_existing_treatment_true; mondo:harrisons_view_reproductive_system_disorder; mondo:mondo_top_grouping_disorder_of_development_or_morphogenesis; mondo:is_cancer_member; mondo:is_glucose_dysfunction_false; mondo:medical_specialization_pediatric; mondo:mondo_txgnn_member; mondo:is_glucose_dysfunction_member; mondo:harrisons_view_disorder_of_development_or_morphogenesis; mondo:mondo_top_grouping_reproductive_system_disorder; mondo:otar; mondo:harrisons_view_member; mondo:mondo_top_grouping_member; mondo:anatomical_reproductive_system_disorder; mondo:anatomical_endocrine_disorder	NANDO:2200378; UMLS:C5680513; Orphanet:178040; SCTID:736606009; MEDGEN:1842596; icd11.foundation:1495024153; GARD:20141
MONDO:0002628	peripheral osteosarcoma	A usually aggressive malignant bone-forming mesenchymal neoplasm arising from the surface of the bone.	peripheral osteosarcoma; bone surface (peripheral) osteosarcoma; surface osteosarcoma	mondo:txgnn_cancer; mondo:harrisons_view_cancer_or_benign_tumor; mondo:tag_qaly_lost_member; mondo:rare; mondo:tag_qualy_lost_other; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:mondo_top_grouping_connective_tissue_disorder; mondo:mondo_top_grouping_musculoskeletal_system_disorder; mondo:is_cancer_true; mondo:harrisons_view_musculoskeletal_system_disorder; mondo:anatomical_joint_disorder; mondo:anatomical_member; mondo:tag_qaly_lost_high; mondo:txgnn_; mondo:anatomical_spinal_disorder; mondo:is_glucose_dysfunction_member; mondo:medical_specialization_orthopaedic; mondo:mondo_top_grouping_member; mondo:is_pathogen_caused_member; mondo:txgnn_member; mondo:medical_specialization_member; mondo:tag_existing_treatment_false; mondo:is_cancer_member; mondo:gard_rare; mondo:harrisons_view_member; mondo:tag_existing_treatment_member; mondo:is_glucose_dysfunction_false; mondo:medical_specialization_oncology; mondo:mondo_txgnn_member; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:anatomical_bone_disorder; mondo:is_pathogen_caused_false; mondo:harrisons_view_connective_tissue_disorder	DOID:3374; NCIT:C7134; MEDGEN:272379; UMLS:C1332591
MONDO:0009851	peripheral neuropathy, ataxia, focal necrotizing encephalopathy, and spongy degeneration of brain		peripheral neuropathy, ataxia, focal necrotizing encephalopathy, and spongy degeneration of brain	mondo:medical_specialization_genetics_and_genomics; mondo:is_pathogen_caused_member; mondo:mondo_top_grouping_member; mondo:anatomical_member; mondo:tag_qaly_lost_member; mondo:medical_specialization_neurology; mondo:tag_existing_treatment_member; mondo:txgnn_inflammatory_disease; mondo:txgnn_neurodegenerative_disease; mondo:harrisons_view_member; mondo:medical_specialization_member; mondo:matrix_excluded; mondo:is_glucose_dysfunction_member; mondo:is_cancer_false; mondo:mondo_top_grouping_hereditary_disease; mondo:anatomical_spinal_disorder; mondo:harrisons_view_hereditary_disease; mondo:tag_qualy_lost_other; mondo:is_pathogen_caused_true; mondo:tag_qaly_lost_high; mondo:tag_existing_treatment_false; mondo:anatomical_muscle_disorder; mondo:is_glucose_dysfunction_false; mondo:txgnn_autoimmune_diseases; mondo:is_cancer_member; mondo:unclassified_hereditary; mondo:anatomical_brain_disorder; mondo:mondo_txgnn_other; mondo:txgnn_member	MESH:C564894; OMIM:260970; UMLS:C1850022; MEDGEN:342395
MONDO:0005244	peripheral neuropathy	A disorder affecting the peripheral nervous system. It manifests with pain, tingling, numbness, and muscle weakness. It may be the result of physical injury, toxic substances, viral diseases, diabetes, renal failure, cancer, and drugs.	neuropathy; peripheral neuropathy; peripheral nerve disorder	mondo:txgnn_member; mondo:medical_specialization_hematology; mondo:txgnn_metabolic_disorder; mondo:mondo_top_grouping_nervous_system_disorder; mondo:anatomical_spinal_disorder; mondo:tag_qaly_lost_member; mondo:gard_rare; mondo:medical_specialization_cardiology; mondo:harrisons_view_member; mondo:rare; mondo:tag_qualy_lost_other; mondo:is_glucose_dysfunction_member; mondo:txgnn_autoimmune_diseases; mondo:medical_specialization_neurology; mondo:is_pathogen_caused_member; mondo:is_cancer_false; mondo:otar; mondo:tag_existing_treatment_member; mondo:anatomical_member; mondo:is_glucose_dysfunction_false; mondo:anatomical_muscle_disorder; mondo:txgnn_neurodegenerative_disease; mondo:tag_existing_treatment_false; mondo:tag_qaly_lost_high; mondo:mondo_txgnn_other; mondo:mondo_top_grouping_member; mondo:medical_specialization_renal_medicine; mondo:is_pathogen_caused_false; mondo:is_cancer_member; mondo:medical_specialization_member; mondo:harrisons_view_nervous_system_disorder	NCIT:C119734; GARD:12192; MedDRA:10034606; MEDGEN:18386; EFO:0003100; NCIT:C4731; SCTID:386033004; DOID:870; UMLS:C0031117
MONDO:0001406	peripheral nervous system neoplasm	A benign or malignant neoplasm arising from a peripheral nerve or the perineural sheaths.	tumor of the peripheral nerve; tumour of the PNS; peripheral nervous system tumor; PNS tumor; tumour of PNS; PNS neoplasms; tumor of peripheral nerve; peripheral nervous system neoplasm; neoplasm of peripheral nerve; tumor of the PNS; peripheral nervous system tumour; peripheral nerve tumor; peripheral nervous system neoplasm (disease); tumour of peripheral nerve; tumour of the peripheral nerve; peripheral nerve neoplasm; neoplasms, peripheral nervous system; neoplasm of peripheral nervous system; peripheral nerve tumour; neoplasm of the PNS; neoplasms, PNS; tumour of the peripheral nervous system; neoplasm of the peripheral nervous system; PNS tumour; PNS neoplasm; tumor of peripheral nervous system; tumor of PNS; neoplasm of the peripheral nerve; tumor of the peripheral nervous system; neoplasm of PNS; tumour of peripheral nervous system	mondo:anatomical_brain_disorder; mondo:mondo_top_grouping_member; mondo:is_pathogen_caused_member; mondo:medical_specialization_oncology; mondo:medical_specialization_neurology; mondo:mondo_top_grouping_cancer_or_benign_tumor; mondo:anatomical_spinal_disorder; mondo:otar; mondo:is_pathogen_caused_false; mondo:tag_qaly_lost_member; mondo:txgnn_peripheral_nervous_system_neoplasm; mondo:mondo_top_grouping_nervous_system_disorder; mondo:txgnn_cancer; mondo:harrisons_view_nervous_system_disorder; mondo:harrisons_view_member; mondo:tag_qaly_lost_medium; mondo:txgnn_member; mondo:tag_existing_treatment_member; mondo:mondo_txgnn_cancer_or_benign_tumor; mondo:is_glucose_dysfunction_false; mondo:medical_specialization_member; mondo:is_cancer_true; mondo:tag_existing_treatment_true; mondo:mondo_txgnn_member; mondo:tag_qualy_lost_other; mondo:is_glucose_dysfunction_member; mondo:anatomical_member; mondo:harrisons_view_cancer_or_benign_tumor; mondo:is_cancer_member	SCTID:126980002; ONCOTREE:PNS; ICD9:239.2; NCIT:C3321; UMLS:C0031118; EFO:0002431; MEDGEN:45817; DOID:1192; MESH:D010524
MONDO:0003620	peripheral nervous system disorder	A disease involving the peripheral nervous system.	PNS diseases; peripheral nervous system disorder; disease of peripheral nervous system; PNS disease; disorder of peripheral nervous system; peripheral nervous system disease; disorder of the peripheral nervous system; peripheral nervous system disorders; peripheral nervous system disease or disorder; disease or disorder of peripheral nervous system; PNS (peripheral nervous system) diseases	mondo:tag_qualy_lost_other; mondo:anatomical_member; mondo:tag_existing_treatment_false; mondo:mondo_top_grouping_nervous_system_disorder; mondo:mondo_top_grouping_member; mondo:is_cancer_false; mondo:is_pathogen_caused_member; mondo:medical_specialization_neurology; mondo:is_glucose_dysfunction_false; mondo:tag_qaly_lost_member; mondo:anatomical_peripheral_nervous_system_is_a_part_of_the_peripheral_nervous_system_so_it_fits_here_too; mondo:is_cancer_member; mondo:mondo_txgnn_other; mondo:medical_specialization_member; mondo:harrisons_view_nervous_system_disorder; mondo:txgnn_member; mondo:txgnn_neurodegenerative_disease; mondo:tag_existing_treatment_member; mondo:is_pathogen_caused_false; mondo:txgnn_peripheral_nervous_system_disorder; mondo:txgnn_inflammatory_disease; mondo:otar; mondo:medical_specialization_; mondo:is_glucose_dysfunction_member; mondo:harrisons_view_member; mondo:rare_grouping; mondo:tag_qaly_lost_medium; mondo:anatomical_muscle_disorder; mondo:txgnn_autoimmune_diseases	ICD9:356.9; DOID:574; MEDGEN:892389; UMLS:C4025831; MESH:D010523; EFO:0009387; ICD9:350-359; NCIT:C27580; SCTID:42658009
